name,type,hp,atk,def,spa,spd,spe,weight,height
Bulbasaur,Grass,45,49,49,65,65,45,6.8945984,0.7112
Ivysaur,Grass,60,62,63,80,80,60,13.0180904,0.9906
Venusaur,Grass,80,82,83,100,100,80,100.017036,2.0066
Charmander,Fire,39,52,43,60,50,65,8.4821704,0.6096
Charmeleon,Fire,58,64,58,80,65,80,19.0055048,1.0922
Charizard,Fire,78,84,78,109,85,100,90.491604,1.7018
Squirtle,Water,44,48,65,50,64,43,8.9811216,0.508
Wartortle,Water,59,63,80,65,80,58,22.4981632,0.9906
Blastoise,Water,79,83,100,85,105,78,85.502092,1.6002
Caterpie,Bug,45,30,35,20,20,45,2.9029888,0.3048
Metapod,Bug,50,20,55,25,25,30,9.8883056,0.7112
Butterfree,Bug,60,45,50,90,80,70,31.978236,1.0922
Weedle,Bug,40,35,30,20,20,50,3.2205032,0.3048
Kakuna,Bug,45,25,50,25,25,35,9.979023999999999,0.6096
Beedrill,Bug,65,90,40,45,80,75,29.48348,0.9906
Pidgey,Normal,40,45,40,35,35,56,1.814368,0.3048
Pidgeotto,Normal,63,60,55,50,50,71,29.982431199999997,1.0922
Pidgeot,Normal,83,80,75,70,70,101,39.507863199999996,1.4986000000000002
Rattata,Normal,30,56,35,25,35,72,3.4926584,0.3048
Raticate,Normal,55,81,60,50,70,97,18.5065536,0.7112
Spearow,Normal,40,60,30,31,31,70,1.9958048000000002,0.3048
Fearow,Normal,65,90,65,61,61,100,38.0110096,1.1938
Ekans,Poison,35,60,44,40,54,55,6.8945984,2.0066
Arbok,Poison,60,95,69,65,79,80,64.9997336,3.5052000000000003
Pikachu,Electric,35,55,40,50,50,90,5.9874144,0.4064
Raichu,Electric,60,90,55,90,80,110,29.982431199999997,0.7874000000000001
Sandshrew,Ground,50,75,85,20,30,40,12.020188,0.6096
Sandslash,Ground,75,100,110,45,55,65,29.48348,0.9906
Nidoran♀,Poison,55,47,52,40,40,41,6.9853168,0.4064
Nidorina,Poison,70,62,67,55,55,56,20.0034072,0.7874000000000001
Nidoqueen,Poison,90,92,87,75,85,76,60.0102216,1.2954
Nidoran♂,Poison,46,57,40,40,40,50,8.9811216,0.508
Nidorino,Poison,61,72,57,55,55,65,19.504456,0.889
Nidoking,Poison,81,102,77,85,75,85,62.006026399999996,1.397
Clefairy,Fairy,70,45,48,60,65,35,7.484268,0.6096
Clefable,Fairy,95,70,73,95,90,60,40.0068144,1.2954
Vulpix,Fire,38,41,40,50,65,65,9.8883056,0.6096
Ninetales,Fire,73,76,75,81,100,100,19.912688799999998,1.0922
Jigglypuff,Normal,115,45,20,45,25,20,5.4884632,0.508
Wigglytuff,Normal,140,70,45,85,50,45,12.020188,0.9906
Zubat,Poison,40,45,35,30,40,55,7.484268,0.7874000000000001
Golbat,Poison,75,80,70,65,75,90,55.020709599999996,1.6002
Oddish,Grass,45,50,55,75,65,30,5.3977448,0.508
Gloom,Grass,60,65,70,85,75,40,8.618248,0.7874000000000001
Vileplume,Grass,75,80,85,110,90,50,18.597272,1.1938
Paras,Bug,35,70,55,45,55,25,5.3977448,0.3048
Parasect,Bug,60,95,80,60,80,30,29.48348,0.9906
Venonat,Bug,60,55,50,40,55,45,29.982431199999997,0.9906
Venomoth,Bug,70,65,60,90,75,90,12.5191392,1.4986000000000002
Diglett,Ground,10,55,25,35,45,95,0.8164656,0.2032
Dugtrio,Ground,35,100,50,50,70,120,33.293652800000004,0.7112
Meowth,Normal,40,45,35,40,40,90,4.2184056000000005,0.4064
Persian,Normal,65,70,60,65,65,115,31.978236,0.9906
Psyduck,Water,50,52,48,65,50,55,19.5951744,0.7874000000000001
Golduck,Water,80,82,78,95,80,85,76.6116888,1.7018
Mankey,Fighting,40,80,35,35,45,70,27.986626400000002,0.508
Primeape,Fighting,65,105,60,60,70,95,31.978236,0.9906
Growlithe,Fire,55,70,45,70,50,60,19.0055048,0.7112
Arcanine,Fire,90,110,80,100,80,95,154.9923864,1.905
Poliwag,Water,40,50,40,40,40,90,12.3830616,0.6096
Poliwhirl,Water,65,65,65,50,50,90,20.0034072,0.9906
Poliwrath,Water,90,95,95,70,90,70,53.977448,1.2954
Abra,Psychic,25,20,15,105,55,90,19.504456,0.889
Kadabra,Psychic,40,35,30,120,70,105,56.5175632,1.2954
Alakazam,Psychic,55,50,45,135,95,120,47.9900336,1.4986000000000002
Machop,Fighting,70,80,50,35,35,35,19.504456,0.7874000000000001
Machoke,Fighting,80,100,70,50,60,45,70.4881968,1.4986000000000002
Machamp,Fighting,90,130,80,65,85,55,129.9994672,1.6002
Bellsprout,Grass,50,75,35,70,30,40,3.9916096000000003,0.7112
Weepinbell,Grass,65,90,50,85,45,55,6.3956472,0.9906
Victreebel,Grass,80,105,65,100,70,70,15.5128464,1.7018
Tentacool,Water,40,40,35,50,100,70,45.4952776,0.889
Tentacruel,Water,80,70,65,80,120,100,55.020709599999996,1.6002
Geodude,Rock,40,80,100,30,30,20,20.0034072,0.4064
Graveler,Rock,55,95,115,45,45,35,105.006548,0.9906
Golem,Rock,80,120,130,55,65,45,300.0057488,1.397
Ponyta,Fire,50,85,55,65,65,90,29.982431199999997,0.9906
Rapidash,Fire,65,100,70,80,80,105,94.9821648,1.7018
Slowpoke,Water,90,65,65,40,40,15,36.0152048,1.1938
Slowbro,Water,95,75,110,100,80,30,78.5167752,1.6002
Magnemite,Electric,25,35,70,95,55,45,5.9874144,0.3048
Magneton,Electric,50,60,95,120,70,70,60.0102216,0.9906
Farfetch’d,Normal,52,90,55,58,62,60,15.0138952,0.7874000000000001
Doduo,Normal,35,85,45,35,35,75,39.1903488,1.397
Dodrio,Normal,60,110,70,60,60,100,85.1845776,1.8034000000000001
Seel,Water,65,45,55,45,70,45,89.9926528,1.0922
Dewgong,Water,90,70,80,70,95,70,120.0204432,1.7018
Grimer,Poison,80,80,50,40,50,25,29.982431199999997,0.889
Muk,Poison,105,105,75,65,100,50,29.982431199999997,1.1938
Shellder,Water,30,65,100,45,25,40,3.9916096000000003,0.3048
Cloyster,Water,50,95,180,85,45,70,132.49422320000002,1.4986000000000002
Gastly,Ghost,30,35,30,100,35,80,0.0907184,1.2954
Haunter,Ghost,45,50,45,115,55,95,0.0907184,1.6002
Gengar,Ghost,60,65,60,130,75,110,40.5057656,1.4986000000000002
Onix,Rock,35,45,160,30,45,70,210.013096,8.7884
Drowzee,Psychic,60,48,45,43,90,42,32.3864688,0.9906
Hypno,Psychic,85,73,70,73,115,67,75.6137864,1.6002
Krabby,Water,30,105,90,25,25,50,6.4863656,0.4064
